Scenario;IdBar;attVector;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48
1;NE;Alpha;0.101651198;0.08483996;0.101758095;0.117104841;0.130501009;0.107431678;0.16289444;0.084859401;0.061459874;-0.004823849;-0.023495211;-0.017712755;-0.023860826;0.009601197;-0.040268994;-3.08E-05;-0.098538695;-0.082450277;-0.090637065;-0.065205003;-0.02615081;-0.069158718;0.090158048;0.038006744;-0.054153954;0.25522184;0.225056418;0.246034569;0.247114565;0.175419828;0.123161757;0.047045449;0.070709722;0.032669028;-0.043127422;-0.142197625;-0.180858579;-0.04858387;0.098398504;0.199065563;0.216131394;0.109067757;0.033329748;-0.021449945;-0.023980857;-0.100307661;-0.130772049;-0.142868531
2;NE;Alpha;0.040322755;0.101745715;0.145674373;0.148544118;0.220706887;0.175750555;0.201422646;0.120730942;0.096279593;0.12596052;0.089430072;0.146633128;0.087042816;0.081417524;0.0299605;-0.031911825;-0.065138871;-0.062514382;0.003202081;0.020480393;0.061765351;0.128756539;0.212222868;0.404968325;-0.190994984;-0.018705037;0.101811932;0.100499924;0.080748663;0.057291389;0.084354356;-0.054706197;-0.083769431;-0.074281566;-0.194487944;-0.193977434;-0.302829317;0.000893296;0.181841094;0.281015404;0.226559555;0.169263305;0.095765829;0.011764557;-0.047903914;-0.073664758;-0.105151823;-0.092359447
3;NE;Alpha;0.119457261;0.07411139;0.053906194;0.015807419;0.009251262;-0.024661876;-0.037885876;0.046969591;0.08719317;0.15913823;0.135822701;0.158552994;0.193375291;0.158085961;0.068008574;0.049459424;0.034717791;0.028033256;0.011940813;-0.000875665;0.0311994;0.014333247;0.019642593;0.016879375;-0.199612413;0.14317825;0.103256806;0.069314019;-0.030026122;0.007875289;-0.087660029;0.022724537;0.120817532;0.17399647;0.13827573;0.020191742;-0.174572192;-0.084436858;0.045365913;0.118141214;0.176130278;0.111487096;0.080818606;-0.026288727;-0.013990616;-0.024646216;-0.070798492;-0.084756843
4;NE;Alpha;-0.003658677;-0.000237448;0.02642675;-0.008377475;-0.050999096;-0.075576464;-0.080879581;-0.040572993;-0.065066244;-0.029897543;0.028044202;0.085898795;0.037062127;-0.0362389;-0.01414371;0.041703957;0.067963399;0.043710623;0.074739319;0.104761331;0.097991795;0.070864397;0.042517207;0.03815515;-0.133370486;0.211132048;0.290671673;0.278340159;0.2807466;0.231517887;0.146954593;0.124907867;0.167257498;0.108131245;-0.029809672;-0.155150824;-0.417487833;-0.334939266;0.009530286;0.199588424;0.254171298;0.200823911;0.167320138;0.057273126;-0.013791725;-0.040424563;-0.046861664;0.011369451
5;NE;Alpha;0.084813083;0.044791891;0.048217491;0.024813093;0.023070283;-0.064134842;-0.067956981;-0.026901509;-0.023777005;0.04390939;0.072540551;0.060072415;0.089876755;0.056476737;0.045117105;-0.024812356;-0.030869652;0.026176665;-0.007568124;0.008614918;0.023948731;0.04499121;0.091558071;0.041655716;-0.102742237;0.141217607;0.204965979;0.171894001;0.130303944;0.119382735;0.074746771;0.002516119;0.007897075;-0.04202988;-0.195088018;-0.280039981;-0.422158673;-0.075555687;0.096270112;0.24471044;0.291211632;0.257924669;0.067477255;0.079904752;0.057423191;0.038343041;0.030286445;0.076592558
6;NE;Alpha;-0.102402756;-0.03437439;0.016289339;0.025748588;0.04336649;0.054008247;0.085809635;-0.002110651;-0.053463095;0.038391075;0.083667999;0.060155642;0.098541393;0.157107557;0.167569581;0.136148898;0.140769003;0.130367084;0.083012384;0.072077354;0.066405397;0.069619188;-0.016788195;-0.030528782;-0.17220257;0.106037115;0.037875518;0.000158961;-0.076144607;-0.081822119;-0.154309601;-0.127095363;-0.112590258;-0.040223549;-0.080711364;-0.229226864;-0.377384431;-0.130599063;0.011388543;0.075241229;0.202589941;0.140832063;0.125997461;0.091901884;0.047130113;-0.005632299;-0.006426543;-0.063046296
7;NE;Alpha;0.023103656;0.024192813;0.033755191;0.010324565;-0.06359014;-0.08904321;-0.111656104;-0.187632788;-0.145623879;-0.131243436;-0.037063078;0.012555448;0.00908802;0.049076471;0.023474542;-0.02868779;0.004343671;-0.043573928;-0.006139244;0.034676611;0.027158074;0.073376645;-0.004931914;0.078401202;-0.247437619;-0.006912934;-0.023247034;-0.026223471;0.037710295;0.046800575;-0.012100652;0.103460984;0.057620483;0.006091444;-0.047973653;-0.079521633;-0.299020303;-0.027257779;0.146145395;0.192859418;0.201787435;0.151706799;0.121943307;0.138788771;0.131710096;0.06098525;0.050855572;0.054313227
8;NE;Alpha;-0.039296081;-0.025235646;-0.01601506;-0.010934633;-0.055565167;-0.045294161;-0.065797158;-0.049248958;-0.099895352;-0.12863147;-0.067470328;-0.056237874;-0.022451498;-0.020237376;0.015498181;0.010269722;0.069407397;0.028695026;0.024637411;0.048756409;0.01939259;0.069910646;-0.079534405;0.012362139;-0.125958615;0.165673027;0.213623942;0.173953819;0.131446299;0.142564853;0.100779659;0.073654301;0.121566089;0.14870458;0.025965379;-0.010997931;-0.145628053;-0.047626992;0.082098642;0.190264004;0.16641666;0.112432028;0.079599869;0.026903093;0.02455555;0.003332685;0.013111205;-0.02781974
9;NE;Alpha;0.009862032;0.019121491;-0.002963383;0.016279771;0.069696786;0.056219128;0.050939384;0.104678072;0.096158793;0.057011723;0.04670179;0.041819314;0.094597113;0.017950264;0.047282881;0.045270487;-0.015953223;-0.015800436;-0.026730775;-0.009420268;-0.03639501;-0.025388696;0.039527982;0.027225273;-0.092191668;0.180090098;0.153842588;0.102615013;0.097950286;0.019115128;0.007669668;-0.04508436;-0.050636329;-0.080547511;-0.183649661;-0.279967686;-0.356002069;-0.077623062;0.123180026;0.207909789;0.17407711;0.109400907;-0.011324663;-0.086823563;-0.096188658;-0.127794228;-0.164780091;-0.125623004
10;NE;Alpha;0.04728765;-0.00642693;-0.073855276;-0.028652436;-0.037473983;-0.019781323;-0.056989504;-0.007326539;0.069878685;0.048162011;0.046099339;-0.042340621;-0.05643853;-0.067782342;-0.071332506;-0.020017018;0.006298251;0.043762736;0.080267041;0.095822976;0.105512593;0.10142844;0.085336577;0.177685962;-0.223078555;0.078564015;0.120077136;0.080213727;0.058520685;0.089178876;0.058958273;-0.027438229;0.0409093;0.002020626;-0.166281709;-0.250318284;-0.327869693;-0.160931837;0.037062002;0.189875693;0.184017741;0.120230851;0.095492726;0.101028761;0.05531657;0.015058651;0.028623172;-0.020527004
